source_path,start_frame,end_frame,new_name
./pose_data/video_4418/video_4418_merged_scene_10_body_0.npy,0,133,4418_10_0.npy
./pose_data/video_4418/video_4418_merged_scene_11_body_0.npy,0,78,4418_11_0.npy
./pose_data/video_4418/video_4418_merged_scene_11_body_1.npy,0,78,4418_11_1.npy
./pose_data/video_4418/video_4418_merged_scene_11_body_2.npy,0,78,4418_11_2.npy
./pose_data/video_4418/video_4418_merged_scene_11_body_3.npy,0,58,4418_11_3.npy
./pose_data/video_4418/video_4418_merged_scene_11_body_4.npy,0,78,4418_11_4.npy
./pose_data/video_4418/video_4418_merged_scene_12_body_0.npy,0,77,4418_12_0.npy
./pose_data/video_4418/video_4418_merged_scene_13_body_0.npy,0,239,4418_13_0.npy
./pose_data/video_4418/video_4418_merged_scene_13_body_1.npy,0,239,4418_13_1.npy
./pose_data/video_4418/video_4418_merged_scene_13_body_2.npy,0,239,4418_13_2.npy
./pose_data/video_4418/video_4418_merged_scene_13_body_3.npy,0,239,4418_13_3.npy
./pose_data/video_4418/video_4418_merged_scene_13_body_4.npy,51,239,4418_13_4.npy
./pose_data/video_4418/video_4418_merged_scene_14_body_0.npy,0,64,4418_14_0.npy
./pose_data/video_4418/video_4418_merged_scene_14_body_1.npy,0,35,4418_14_1.npy
./pose_data/video_4418/video_4418_merged_scene_15_body_0.npy,0,77,4418_15_0.npy
./pose_data/video_4418/video_4418_merged_scene_15_body_1.npy,0,50,4418_15_1.npy
./pose_data/video_4418/video_4418_merged_scene_15_body_2.npy,0,41,4418_15_2.npy
./pose_data/video_4418/video_4418_merged_scene_17_body_0.npy,0,66,4418_17_0.npy
./pose_data/video_4418/video_4418_merged_scene_18_body_0.npy,0,86,4418_18_0.npy
./pose_data/video_4418/video_4418_merged_scene_18_body_1.npy,0,86,4418_18_1.npy
./pose_data/video_4418/video_4418_merged_scene_19_body_0.npy,0,69,4418_19_0.npy
./pose_data/video_4418/video_4418_merged_scene_19_body_1.npy,0,69,4418_19_1.npy
./pose_data/video_4418/video_4418_merged_scene_1_body_0.npy,0,101,4418_1_0.npy
./pose_data/video_4418/video_4418_merged_scene_20_body_0.npy,21,92,4418_20_0.npy
./pose_data/video_4418/video_4418_merged_scene_20_body_1.npy,26,92,4418_20_1.npy
./pose_data/video_4418/video_4418_merged_scene_20_body_2.npy,21,92,4418_20_2.npy
./pose_data/video_4418/video_4418_merged_scene_21_body_0.npy,0,70,4418_21_0.npy
